1446745829,48.36777,-124.61693,2015-11-05T17:50:29+0000
1446746429,48.36779,-124.61702,2015-11-05T18:00:29+0000
1446747025,48.36913,-124.61465,2015-11-05T18:10:25+0000
1446747663,48.37982,-124.58801,2015-11-05T18:21:03+0000
1446748315,48.39173,-124.60727,2015-11-05T18:31:55+0000
1446749406,48.39708,-124.65118,2015-11-05T18:50:06+0000
1446750000,48.3984,-124.67955,2015-11-05T19:00:00+0000
1446750595,48.39704,-124.711,2015-11-05T19:09:55+0000
1446751190,48.3892,-124.73239,2015-11-05T19:19:50+0000
1446751778,48.37387,-124.74804,2015-11-05T19:29:38+0000
1446752378,48.36748,-124.75825,2015-11-05T19:39:38+0000
1446752978,48.35748,-124.76366,2015-11-05T19:49:38+0000
1424485675,48.64771,-123.17905,2015-02-21T02:27:55+0000
1428353014,48.56422,-123.01031,2015-04-06T20:43:34+0000
1446754896,48.29905,-124.79285,2015-11-05T20:21:36+0000
1446755459,48.28209,-124.79935,2015-11-05T20:30:59+0000
1446755948,48.267,-124.80558,2015-11-05T20:39:08+0000
1446756548,48.24863,-124.81339,2015-11-05T20:49:08+0000
1446757143,48.23011,-124.82185,2015-11-05T20:59:03+0000
1446757744,48.21136,-124.82835,2015-11-05T21:09:04+0000
1446758430,48.18822,-124.82715,2015-11-05T21:20:30+0000
1446759167,48.16356,-124.82545,2015-11-05T21:32:47+0000
1446759654,48.14734,-124.82495,2015-11-05T21:40:54+0000
1446760134,48.13165,-124.82434,2015-11-05T21:48:54+0000
1446760730,48.11276,-124.82439,2015-11-05T21:58:50+0000
1446761326,48.09378,-124.82509,2015-11-05T22:08:46+0000
1446761921,48.07572,-124.82629,2015-11-05T22:18:41+0000
1446762576,48.05672,-124.82733,2015-11-05T22:29:36+0000
1446763255,48.04067,-124.81931,2015-11-05T22:40:55+0000
1446763696,48.02925,-124.81286,2015-11-05T22:48:16+0000
1446764296,48.01419,-124.79793,2015-11-05T22:58:16+0000
